TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify Exposure Amount Auto-Population with Turnover Exposure Base_Casualty_New Business_AC1,The objective of this test case is to validate that when a user creates a new business transaction for Casualty LOB with Turnover as exposure base, the exposure amount is automatically populated in the Claims tab of Risk Analysis screen,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen with all required fields,MM-Casualty/CAMS-4436 Exposure Amount Auto-Population,ToDo,Middle Market,CAMS-4436,High,Positive
1,,,,"2. Create a Domestic submission with Casualty LOB and effective date as release date","2. User should be able to create a submission successfully with Casualty product selected",,ToDo,,,
1,,,,"3. Navigate to Casualty screen and select NAICS codes for Canada location","3. User should be able to view Casualty screen with NAICS code selection options for Canada",,ToDo,,,
1,,,,"4. Select Turnover as exposure base for selected NAICS code with value 100,000 CAD","4. User should be able to select Turnover and enter exposure value successfully",,ToDo,,,
1,,,,"5. Navigate to Risk Analysis screen and click on Claims tab","5. User should be able to view Claims tab under Risk Analysis screen",,ToDo,,,
1,,,,"6. Verify Exposure Amount field is automatically populated with 100,000","6. User should see the exposure amount field populated with the sum of 100,000 (same as Turnover exposure value provided)",,ToDo,,,
1,,,,"7. Verify Exposure Amount field is enabled and displays currency (CAD)","7. User should verify the exposure amount displays with proper currency formatting",,ToDo,,,
2,Manual,TC02_Verify Exposure Amount Auto-Population with Revenue Exposure Base_Casualty_New Business_AC1,The objective of this test case is to validate that when a user creates a new business transaction for Casualty LOB with Revenue as exposure base, the exposure amount is automatically populated in the Claims tab of Risk Analysis screen,1. Navigate to Phoenix submission creation screen,1. User should be able to view the submission creation screen,MM-Casualty/CAMS-4436 Exposure Amount Revenue,ToDo,Middle Market,CAMS-4436,High,Positive
2,,,,"2. Create a Domestic submission with Casualty LOB and effective date as release date","2. User should be able to create a submission successfully",,ToDo,,,
2,,,,"3. Navigate to Casualty screen and select NAICS codes for USA location","3. User should be able to view Casualty screen with NAICS code selection options for USA",,ToDo,,,
2,,,,"4. Select Revenue as exposure base for selected NAICS code with value 250,000 USD","4. User should be able to select Revenue and enter exposure value successfully",,ToDo,,,
