TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
TC_1863_001,Manual,CAMS-1863_NB_Domestic_ZC6356_AutoAttachment,Verify ZC 6356 form is automatically attached when Inland Marine is selected in New Business with Domestic scope,"1. Create a new submission in UWD
2. Initiate submission to Phoenix
3. Navigate to Line selection screen
4. Verify Inland Marine LOB is selected
5. Navigate to Inland Marine screen
6. Fill all mandatory fields
7. Click Price
8. Navigate to Forms screen
9. Validate forms attached","1. Submission created successfully
2. Submission initiated to Phoenix
3. User navigates to Line selection screen
4. Inland Marine LOB is selected and visible
5. Inland Marine screen displays
6. All mandatory fields are fillable and validatable
7. Price operation completes successfully
8. User navigates to Forms screen
9. ZC 6356 form (03/25 edition) is auto-attached with latest version",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,High,Positive
TC_1863_001,Manual,,,,,(continued),,,,
,,,,"10. Verify form edition is 03/25
11. Verify effective date aligns with August release","10. Form edition date displays as 03/25
11. Effective date is correctly aligned with August release date",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,High,Positive
TC_1863_002,Manual,CAMS-1863_NB_Produced_ZC6356_AutoAttachment,Verify ZC 6356 form is automatically attached when Inland Marine is selected in New Business with Produced scope,"1. Create a new submission in UWD
2. Initiate submission to Phoenix
3. Navigate to Line selection screen
4. Select Produced scope
5. Verify Inland Marine LOB is selected
6. Navigate to Inland Marine screen
7. Fill all mandatory fields
8. Click Price
9. Navigate to Forms screen
10. Validate ZC 6356 form attached","1. Submission created successfully
2. Submission initiated to Phoenix
3. User navigates to Line selection screen
4. Produced scope is selected
5. Inland Marine LOB is selected and visible
6. Inland Marine screen displays
7. All mandatory fields are fillable
8. Price operation completes successfully
9. User navigates to Forms screen
10. ZC 6356 form (03/25 edition) is auto-attached",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,High,Positive
TC_1863_002,Manual,,,,,(continued),,,,
,,,,"11. Verify form edition is 03/25
12. Verify effective date alignment","11. Form edition date displays as 03/25
12. Effective date is correctly aligned with August release",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,High,Positive
TC_1863_003,Manual,CAMS-1863_PC_Inception_AddZC6356,Verify ZC 6356 form can be added in Policy Change Inception when Inland Marine is selected,"1. Create an existing policy in UWD
2. Navigate to policy change screen
3. Select Policy Change type
4. Verify inception date is selected
5. Navigate to Inland Marine LOB
6. Add/Select Inland Marine coverage
7. Navigate to Forms screen
8. Add ZC 6356 form","1. Existing policy retrieved successfully
2. Policy change screen displays
3. Policy Change type is selected
4. Inception date is correctly set
5. Inland Marine LOB screen displays
6. Inland Marine coverage is added/selected
7. Forms screen displays with available forms
8. ZC 6356 form (03/25 edition) is available and can be added",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,High,Positive
TC_1863_003,Manual,,,,,(continued),,,,
,,,,"9. Verify form edition is 03/25
10. Confirm form is attached with latest version","9. Form edition date displays as 03/25
10. Latest version of form is attached successfully",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,High,Positive
TC_1863_004,Manual,CAMS-1863_PC_Midterm_AddZC6356,Verify ZC 6356 form can be added in Policy Change Midterm when Inland Marine is selected,"1. Create an existing policy in UWD
2. Navigate to policy change screen
3. Select Policy Change Midterm type
4. Verify midterm effective date is set
5. Navigate to Inland Marine LOB
6. Add/Select Inland Marine coverage
7. Navigate to Forms screen
8. Add ZC 6356 form
9. Verify form edition is 03/25","1. Existing policy retrieved successfully
2. Policy change screen displays
3. Policy Change Midterm type is selected
4. Midterm effective date is correctly set
5. Inland Marine LOB screen displays
6. Inland Marine coverage is added/selected
7. Forms screen displays
8. ZC 6356 form (03/25 edition) can be added
9. Form edition date displays as 03/25",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,Medium,Positive
TC_1863_004,Manual,,,,,(continued),,,,
,,,,"10. Verify effective date alignment
11. Price, Quote & Bind the policy","10. Effective date is correctly aligned
11. Policy is successfully priced, quoted and bound",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,Medium,Positive
TC_1863_005,Manual,CAMS-1863_PC_OOS_AddZC6356,Verify ZC 6356 form can be added in Policy Change Out of Sequence when Inland Marine is selected,"1. Create an existing policy in UWD
2. Navigate to policy change screen
3. Select Policy Change Out of Sequence type
4. Verify OOS effective date is set
5. Navigate to Inland Marine LOB
6. Add/Select Inland Marine coverage
7. Navigate to Forms screen
8. Add ZC 6356 form
9. Verify form edition is 03/25
10. Verify effective date alignment","1. Existing policy retrieved successfully
2. Policy change screen displays
3. Policy Change OOS type is selected
4. OOS effective date is correctly set
5. Inland Marine LOB screen displays
6. Inland Marine coverage is added/selected
7. Forms screen displays
8. ZC 6356 form (03/25 edition) can be added
9. Form edition date displays as 03/25
10. Effective date is correctly aligned with form requirements",MM - CAMS-1863 / Canada Contractors Equipment Form ZC 6356,ToDo,Middle Market,CAMS-1863,Medium,Positive
