TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_Verify_ZC3676_Exclusion_DisplayAndSelection_Umbrella_NewBusiness_Renewal_PolicyChange_Rewrite_R1,"Validate that the new exclusion ZC 3676 (Designated Professional Services) appears as an optional exclusion and can be selected/added on the listed transaction types.","1. Navigate to a New Business policy creation screen and open the Umbrella coverages.","1. ZC 3676 exclusion is listed under Umbrella exclusions and is selectable.","Umbrella/CAMS-1886 ZC3676 Exclusion",Done,Middle Market,CAMS-1886,High,Positive
1,,,,"2. Select ZC 3676 and add it to the transaction.","2. ZC 3676 is added to the transaction and visible in the coverage/exclusions list.",,,,,,
1,,,,"3. Repeat steps for a Renewal transaction.","3. ZC 3676 is available and addable on Renewal transactions.",,,,,,
1,,,,"4. Repeat steps for a Policy Change transaction.","4. ZC 3676 is available and addable on Policy Change transactions.",,,,,,
1,,,,"5. Repeat steps for a Rewrite transaction.","5. ZC 3676 is available and addable on Rewrite transactions.",,,,,,
2,Manual,TC02_Verify_ZC3676_AutoAttachment_And_Versioning_Umbrella_FinalPolicy_R2,"Validate that when ZC 3676 is selected it is automatically attached to final policy documents with proper language-based selection, versioning and edition date.","1. On a policy where ZC 3676 has been added, complete the policy finalization/issue flow and go to the Documents/Final Policy output.","1. Document for ZC 3676 is automatically attached to the final policy documents.","Umbrella/CAMS-1886 ZC3676 Exclusion - Documents",Done,Middle Market,CAMS-1886,High,Positive
2,,,,"2. Verify the attached ZC 3676 document's version and edition date metadata.","2. The attached ZC 3676 document shows the correct version and edition date as per release notes.",,,,,,
2,,,,"3. Change the policy language selection (where applicable) and finalize the policy.","3. The attached ZC 3676 document corresponds to the selected language variant (language-specific document attached).",,,,,,
2,,,,"4. Verify the attachment appears in policy payload and document list for downstream systems.","4. The document is included in the policy payload/listing with correct metadata (version, edition date, language).",,,,,,
3,Manual,TC03_Verify_ZC3676_CoverageTerms_Schedule_UI_Behaviour_Umbrella_R3,"Validate the schedule box and free-text schedule rows for ZC 3676: box appears only when ZC 3676 selected, supports Add rows and free-form text up to 250 characters per row.","1. Select ZC 3676 on a policy transaction.","1. A schedule section/box for ZC 3676 is displayed and an 'Add' button is present.","Umbrella/CAMS-1886 ZC3676 Schedule",Done,Middle Market,CAMS-1886,High,Positive
3,,,,"2. Click the 'Add' button to create a schedule row.","2. A new schedule row is added and visible in the schedule grid/section.",,,,,,
3,,,,"3. Enter free-form text (up to 250 characters) into the 'Designated professional services excluded' field for the new row.","3. The entered text is accepted and persists in the schedule row; input length accepted up to 250 characters.",,,,,,
3,,,,"4. Add multiple rows using the 'Add' button.","4. Multiple schedule rows are created and each row allows separate free-text entries.",,,,,,
4,Manual,TC04_Verify_ZC3676_Schedule_Validation_Message_When_Missing_Umbrella_R4,"Validate that selecting ZC 3676 without entering any schedule rows triggers the out-of-the-box validation error as specified.","1. Select ZC 3676 on a policy transaction and attempt to save/complete the transaction without adding any schedule rows.","1. An OOTB validation error is displayed preventing save; user is informed that at least one schedule entry is required.","Umbrella/CAMS-1886 ZC3676 Validation",Done,Middle Market,CAMS-1886,High,Negative
4,,,,"2. Verify the error message is displayed next to the schedule section (or in the validation summary).","2. The OOTB error appears in the validation summary and/or inline next to the schedule section.",,,,,,
4,,,,"3. Add a valid schedule row and save the transaction.","3. The validation error is cleared and the transaction saves successfully.",,,,,,
5,Manual,TC05_Verify_ZC3676_Availability_By_EffectiveDate_Umbrella_R5,"Validate that ZC 3676 selection is available only for policies/renewals with effective dates on or after the August release live date, and not available for earlier effective dates.","1. Open or create a policy/renewal with an effective date prior to the August release live date.","1. ZC 3676 exclusion is NOT present/available for selection on policies with effective dates prior to the August release live date.","Umbrella/CAMS-1886 ZC3676 EffectiveDate",Done,Middle Market,CAMS-1886,High,Positive
5,,,,"2. Open or create a policy/renewal with an effective date on or after the August release live date.","2. ZC 3676 exclusion is present and selectable for policies/renewals with effective dates on or after the August release live date.",,,,,,
5,,,,"3. For a renewal that moves from pre-August to post-August effective window, verify availability.","3. The exclusion is available for the renewal if its new effective term falls on/after the August release date.",,,,,,
