TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,TC01_ZC3676_NewBusiness_English_FormInference_AC1,"The objective of this test case is to validate that ZC3676 exclusion with English language preference correctly infers ZC3676U 0325a form during binding process in New Business transaction","1. Initiate a New Business submission in Phoenix","1. New Business submission creation screen is displayed",MM-CAMS-3321/NewBusiness/English,ToDo,Middle Market,CAMS-3321,High,Positive
1,,,"2. Create submission with Umbrella LOB (UMB)","2. Submission is created successfully with UMB available",,,,,,
1,,,"3. Navigate to policy information screen and set language preference to English","3. Language preference is set to English successfully",,,,,,
1,,,"4. Navigate to Umbrella LOB screen and fill all mandatory fields","4. UMB LOB screen is displayed with all required fields populated",,,,,,
1,,,"5. Select ZC3676 - Designated Prof Services Exclusion from available exclusions","5. ZC3676 exclusion is selected and highlighted on the screen",,,,,,
1,,,"6. Proceed to binding process (Price)","6. Pricing is successful without errors",,,,,,
1,,,"7. Click Bind button to initiate binding","7. Binding process is triggered successfully",,,,,,
1,,,"8. Navigate to Forms screen to validate inferred forms","8. Forms screen is displayed showing all inferred forms for the policy",,,,,,
1,,,"9. Verify ZC3676U 0325a form is inferred and displayed","9. ZC3676U 0325a (English version) form is present in the forms list",,,,,,
1,,,"10. Verify form content matches new version specification","10. Form displays correct content without the highlighted lines mentioned in requirements",,,,,,
1,,,"11. Verify old version form ZC3676 0325 is NOT present","11. Old form ZC3676 0325 is not displayed in forms list (form retirement validated)",,,,,,
2,Manual,TC02_ZC3676_NewBusiness_French_FormInference_AC2,"The objective of this test case is to validate that ZC3676 exclusion with French language preference correctly infers ZC3676G 0325a form during binding process in New Business transaction","1. Initiate a New Business submission in Phoenix","1. New Business submission creation screen is displayed",MM-CAMS-3321/NewBusiness/French,ToDo,Middle Market,CAMS-3321,High,Positive
2,,,"2. Create submission with Umbrella LOB (UMB)","2. Submission is created successfully with UMB available",,,,,,
2,,,"3. Navigate to policy information screen and set language preference to French","3. Language preference is set to French successfully",,,,,,
2,,,"4. Navigate to Umbrella LOB screen and fill all mandatory fields","4. UMB LOB screen is displayed with all required fields populated",,,,,,
2,,,"5. Select ZC3676 - Designated Prof Services Exclusion from available exclusions","5. ZC3676 exclusion is selected and highlighted on the screen",,,,,,
2,,,"6. Proceed to binding process (Price)","6. Pricing is successful without errors",,,,,,
2,,,"7. Click Bind button to initiate binding","7. Binding process is triggered successfully",,,,,,
2,,,"8. Navigate to Forms screen to validate inferred forms","8. Forms screen is displayed showing all inferred forms for the policy",,,,,,
2,,,"9. Verify ZC3676G 0325a form is inferred and displayed","9. ZC3676G 0325a (French version) form is present in the forms list",,,,,,
2,,,"10. Verify form content matches new version specification","10. Form displays correct content without the highlighted lines mentioned in requirements",,,,,,
2,,,"11. Verify old version form ZC3676 0325 is NOT present","11. Old form ZC3676 0325 is not displayed in forms list",,,,,,
3,Manual,TC03_ZC3676_NewBusiness_OldFormNotInferred_AC3,"The objective of this test case is to validate that the older version of ZC3676 0325 form does not get inferred when ZC3676 exclusion is applied in New Business transaction (form retirement validation)","1. Initiate a New Business submission in Phoenix","1. New Business submission creation screen is displayed",MM-CAMS-3321/NewBusiness/OldFormRetirement,ToDo,Middle Market,CAMS-3321,High,Positive
3,,,"2. Create submission with Umbrella LOB (UMB)","2. Submission is created successfully with UMB available",,,,,,
3,,,"3. Navigate to Umbrella LOB screen and fill all mandatory fields","3. UMB LOB screen is displayed with all required fields populated",,,,,,
3,,,"4. Select ZC3676 - Designated Prof Services Exclusion from available exclusions","4. ZC3676 exclusion is selected successfully",,,,,,
3,,,"5. Proceed to binding process (Price) without specifying language preference","5. Pricing is successful without errors",,,,,,
3,,,"6. Click Bind button to initiate binding","6. Binding process is triggered successfully",,,,,,
3,,,"7. Navigate to Forms screen","7. Forms screen is displayed showing all applicable forms",,,,,,
3,,,"8. Check for presence of old version form ZC3676 0325","8. Old form ZC3676 0325 is NOT present in forms list",,,,,,
3,,,"9. Verify only new version forms are available in system","9. System confirms ZC3676 0325 has been retired and is no longer available",,,,,,
4,Manual,TC04_ZC3676_FormContentValidation_AC4,"The objective of this test case is to validate that ZC3676 0325a form displays correct content as per the new version specification without the highlighted lines in New Business transaction","1. Initiate a New Business submission in Phoenix","1. New Business submission creation screen is displayed",MM-CAMS-3321/NewBusiness/FormContentValidation,ToDo,Middle Market,CAMS-3321,High,Positive
4,,,"2. Create submission with Umbrella LOB (UMB)","2. Submission is created successfully with UMB available",,,,,,
4,,,"3. Set language preference to English and navigate to UMB screen","3. UMB LOB screen is displayed with all required fields",,,,,,
4,,,"4. Select ZC3676 - Designated Prof Services Exclusion","4. ZC3676 exclusion is selected successfully",,,,,,
4,,,"5. Fill all mandatory fields in UMB screen","5. All mandatory fields are populated with valid data",,,,,,
4,,,"6. Proceed to binding process (Price)","6. Pricing is successful without errors",,,,,,
4,,,"7. Click Bind button","7. Binding is successful",,,,,,
4,,,"8. Navigate to Forms screen and open ZC3676U 0325a form","8. Form content is displayed correctly",,,,,,
4,,,"9. Validate that form does NOT contain highlighted lines from old version","9. All content displays without excluded/highlighted lines as per requirement mockup",,,,,,
4,,,"10. Verify form structure and sections match the new version specification","10. Form sections are correctly formatted and content matches new version structure",,,,,,
5,Manual,TC05_ZC3676_PolicyChange_English_FormInference,"The objective of this test case is to validate that ZC3676 exclusion added during Policy Change with English language preference correctly infers ZC3676U 0325a form during binding process","1. Create and bind a New Business policy with Umbrella LOB in English language","1. New Business policy is created and bound successfully",MM-CAMS-3321/PolicyChange/English,ToDo,Middle Market,CAMS-3321,High,Positive
5,,,"2. Initiate a Policy Change (Inception) submission in Phoenix","2. Policy Change submission is created successfully",,,,,,
5,,,"3. Navigate to Umbrella LOB screen and verify English language preference is maintained","3. Language preference is set to English",,,,,,
5,,,"4. Select ZC3676 - Designated Prof Services Exclusion from available exclusions","4. ZC3676 exclusion is selected and added to policy",,,,,,
5,,,"5. Fill all mandatory fields in UMB screen","5. All mandatory fields are populated with valid data",,,,,,
5,,,"6. Proceed to binding process (Price)","6. Pricing is successful for policy change",,,,,,
5,,,"7. Click Bind button to bind the policy change","7. Binding is successful for policy change submission",,,,,,
5,,,"8. Navigate to Forms screen to validate inferred forms","8. Forms screen is displayed showing all forms for policy change",,,,,,
